txt_id,text,dataset
LIPITOR.86,"headaches, pain in throat , tingling in side of face, severe bouts of anxiety and depression-loss of reason to live! nausea. does lower my cholestoral. ",CADEC
LIPITOR.92,"Muscle aches and weakness in neck, arms, shoulders, upper back, legs. Severe pain in left foot and third and fourth toes. Pain and weakness increased until I needed help dressing and combing my hair. I could not do daily activities such as pick up a cup of coffee or put on a seatbelt without significant pain. The ball of my left foot was so painful I could not put pressure on it when walking so I walked on the side of my foot. Symptoms began 12 weeks after starting Lipitor. I reported to my cardiologist and internist who both denied problems were related to Lipitor because my CPK was only mildly elevated (250). I also saw a podiatrist, chiropractor, and spine specialist with no relief. When it got so bad I could not take it anymore and did not care about my cholesterol I took myself off of Lipitor and got a 50% improvement after one week. I then saw a neurologist who diagnosed me with statin induced myalgia. He said he sees a lot of patients with slightly elevated CPK that many physicians do not recognized as a symptom of a statin intolerance. I have been off of Lipitor for two years and continue to improve very slowly, but I still suffer from some pain and weakness. I can now walk normal, but my toes are still quite painful at times. ",CADEC
LIPITOR.952,"I have taken Lipitor for 4 years with no problems - lowered my cholesterol. Insurance co. has decided I need a generic Pravachol. In just two weeks, I feel achy, muscle fatigue, memory loss. I don't think insurance co. should have the say on what medicines I take. ",CADEC
LIPITOR.946,"Aches and pain from head to toe, very grouchy. I have been competitive in road racing for almost 20 years, but after starting this drug I began to notice my performance falling off. Later I got pains so bad that I could not run. I stopped taking this drug and after about 3 months am almost back where I was with my running. I detest lawyers, but statin class drugs are crying out for a class action lawsuit to stop their use. ",CADEC
LIPITOR.45,"Cannot be sure it is the drug, but around the time I was on it a month, began having pain on outer sides of thighs. Knowing some cholesterol meds can cause leg pain my doc did some kind of check on me and said it was not the drug. Still have those pains, not terrible, just feel like I have been hiking uphill and am fatigued there. Has done a very good job keeping cholesterol down. I am going to request lowering the dose w/ the doc. ",CADEC
LIPITOR.775,"Muscle and joint pain developed after approx 12 months. Began to spread to legs, buttocks, elbow. Stopped taking 10mg / day dosage on march 17th, will hope I start to feel positive results. Doctor had my on Lipitor and Tricor which seems to increase the chances of side effects. This is very scary, thought I had some type of bone cancer. Will never take this drug again. ",CADEC
LIPITOR.761,"aches and pain in both arms and shoulders and weakness in arms, especially left arm. Difficulty sleeping because of pain. Noticed a decrease in sexual desire, but don't know if Lipitor is to blame. Seems like the cure is worse than the disease. I will discontinue using lipitor and see if the pain goes away. ",CADEC
LIPITOR.51,"Had muscle pain in my back (primarily small of my back) and down my leg. I had tried Lipitor before and the result was achy legs. After some time off of this drug and feeling better, I tried it again. My back hurt so bad that I went to a chiropractor twice and no relief. I thought I might have a bulging disc but decided to go off the Lipitor again. After two months, I'm back to normal. I call this the drug from hell. ",CADEC
LIPITOR.79,"Severe B/L shoulder pain, general weakness, malaise, and slight memory loss. I started out at 10 mg every day for 7 years, 20 mg for 1 year, 40 then 80 for over 1 1/2 years. Over the past year, B/L shoulder pain to the point of wearing a sling because it hurt badly when I walked. I read about the shoulder pain in assorted sites on the web. Discussed it with my PA and cardiologist. My PA stopped the Lipitor. The pain lessened but did not stop. Went to a Ortho MD who gave me 3 Steroid shots and PT. It seemed to help but pain would not stop. Narcs were ordered which helped somewhat but wasn't the answer. MRI showed a slight linear tear in my Rotator Cuff which he wanted to do surgery. Decided against surgery. Both shoulders started to feel better but still couldn't sleep on my left side. My LDL's were through the roof. After almost 10 months off Lipitor, my general MD talked me into starting Sinivastatin 40 mg every day. Well, guess what happened. My shoulder pain suddenly worsen, especially left side. I am going to speak with my Cardiologist again and explore alternatives and will be stopping my Statin today! Moral of the story. Stay clear of Statin medications. ",CADEC
LIPITOR.991,"Brain fog and decreased cognitive skills. Does wonders for reducing LDL Cholestrol. Short term memory and brain fog were brutal. Since I also have anxiety issues, I was not sure if Lipitor caused side effects. Stopped liptor and improved diet and memory improved. ",CADEC
LIPITOR.749,Muscle Pain. ,CADEC
